COMNAME,LISPA,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,PHOPMN,PHOPMX,PHMIN,PHMAX,ALTMX,LIOPMN,LIOPMX,LIMN,LIMX,DEP,DEPR,TEXT,TEXTR,FER,FERR,SAL,SALR,DRA,DRAR,CLIZ,GMIN,GMAX
cotton,perennial,22.0,32.0,15.0,38.0,750.0,1250.0,500.0,1500.0,5.2,7.2,5.0,8.5,1500.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),medium (50-150 cm),"medium, organic","heavy, medium, light",moderate,moderate,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",180.0,210.0
cotton,"annual, perennial",22.0,36.0,15.0,42.0,750.0,1200.0,450.0,1500.0,6.0,7.5,5.0,9.5,1250.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium, light, organic",moderate,moderate,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",150.0,200.0
